,name,price,description,trassmition,model,milage,fuel
6605,Mercedes-benz Classe B,"31,722 ",B 180 Progressive Anhangevorrichtung Automatik,Automatic,2022,"23,238 km",Petrol
6606,Mercedes-benz Classe B,"31,213 ",Progressive+led+kamera+7g,Automatic,2023,"17,886 km",Petrol
6607,Mercedes-benz Classe B,"23,644 ",D*style*leder*navi*kamera*el-heckklappe*1h,Automatic,2020,"58,900 km",Diesel
6608,Mercedes-benz Classe B,"15,898 ",B -klasse B 180 Cdi / D/navi/aut./led/ahk,Automatic,2015,"134,000 km",Diesel
6609,Mercedes-benz Classe E,"46,513 ",D/hub/pano/shz/spur/totw/360*/1.hand,Automatic,2020,"90,163 km",Diesel
6610,Mercedes-benz Classe E,"44,624 ",Coupe/amg-line/pano/totw/spur/led/acc/rfk,Automatic,2019,"76,999 km",Diesel
6611,Mercedes-benz Classe E,"32,057 ",D Avantgarde *standheizung*led*acc*kamera*,Automatic,2019,"129,124 km",Diesel
6612,Mercedes-benz Classe E,"31,133 ",D 4maticschiebedach Kamera Led Wides.,Automatic,2017,"107,500 km",Diesel
6613,Mercedes-benz Classe E,"38,303 ",D T 9g-tronic Amg Navi/distronic/kamera/la,Automatic,2020,"99,000 km",Diesel
6614,Mercedes-benz Classe A,"19,680 ",7g-dct Progressive Teilleder+navi+kamera+52tkm,Automatic,2019,"52,000 km",Petrol
6615,Mercedes-benz Classe A,"50,696 ",Amg Mbux+rukam+m-led+pano+distr+night+totw,Automatic,2024,"6,000 km",Petrol
6616,Mercedes-benz Classe A,"42,257 ",Amg Line Advanced,Automatic,2024,"3,001 km",Petrol
6617,Mercedes-benz Classe A,"32,713 ",Progressive+led+kamera+7g,Automatic,2023,"12,462 km",Petrol
6618,Mercedes-benz Classe A,"36,513 ",Amg+pano+led+kamera+totw+keyless+7g,Automatic,2023,"10,558 km",Petrol
6619,Mercedes-benz Classe A,"28,773 ",D 2.0 Progressive Parkass. Spurh Led Navi,Manual,2022,"78,910 km",Diesel
6620,Mercedes-benz Classe A,"22,850 ",7g*amg-sport-edition*led*carplay*night*kam,Automatic,2017,"82,200 km",Petrol
6621,Mercedes-benz Classe A,"37,297 ",Lim Amg+led+kamera+keyless+7g,Automatic,2023,"4,586 km",Petrol
6622,Mercedes-benz Classe A,"35,297 ",Progressive+led+kamera+totw+7g,Automatic,2024,"5,705 km",Petrol
6623,Mercedes-benz Classe A,"35,377 ",Progressive+led+fahrass+kamera+keyless+7g,Automatic,2023,"9,629 km",Petrol
6624,Mercedes-benz Classe A,"26,128 ",Edition 19 Led/ambiente/mbux/carplay/1hand,Automatic,2019,"38,700 km",Petrol
6625,Mercedes-benz Classe A,"27,102 ",Progressive Multibeam Distronic 360° Mbux,Automatic,2020,"31,867 km",Petrol
6626,Mercedes-benz Classe A,"26,078 ",*mbux*spurhalte*,Automatic,2020,"43,666 km",Petrol
6627,Mercedes-benz Classe A,"25,902 ",D /shz/navi/volldigi/2.hand/rfk/spurh,Automatic,2021,"44,727 km",Diesel
6628,Mercedes-benz Classe A,"26,574 ","D Progressive Mbux,widescreen,panorama,sh",Automatic,2019,"88,116 km",Diesel
6629,Mercedes-benz Classe A,"29,471 ",A180 Amg-line *navi*led*ambiente*mod.20*19zoll*,Automatic,2019,"54,000 km",Petrol
6630,Mercedes-benz Classe A,"27,161 ",A180d*urban-progressive*led*navi*18zoll*,Automatic,2019,"54,000 km",Diesel
6631,Mercedes-benz Classe A,"41,187 ",A180 Limo Amg Premium+ 360 Pano Multibeam Memory,Automatic,2024,"3,975 km",Petrol
6632,Mercedes-benz Classe A,"26,205 ",D Kompaktlimousine Progressive Mbux+17,Automatic,2018,"58,430 km",Diesel
6633,Mercedes-benz Classe A,"22,826 ",Blueefficiency*3j.garantie*automatik*50tkm,Automatic,2015,"52,574 km",Petrol
6634,Mercedes-benz Classe A,"31,396 ",Progressive+led+kamera+volldigital+shz+pdc,Automatic,2024,"6,932 km",Petrol
6635,Mercedes-benz Classe A,"22,925 ",Blueefficiency*3j.garantie*tuvneu*86tkm*,Automatic,2015,"86,651 km",Petrol
6636,Mercedes-benz Classe A,"30,749 ",A 180 Progressive Facelift Kamera Carplay Dab,Automatic,2023,"42,638 km",Petrol
6637,Mercedes-benz Classe A,"31,213 ",Progressive+led+kamera+7g,Automatic,2023,"13,020 km",Petrol
6638,Mercedes-benz Classe A,"31,177 ",Progressive+led+kamera+7g,Automatic,2023,"7,627 km",Petrol
6639,Mercedes-benz Classe A,"31,213 ",Progressive+led+kamera+7g,Automatic,2023,"10,971 km",Petrol
6640,Mercedes-benz Classe A,"29,471 ",A 180 (177.084),Automatic,2019,"55,000 km",Petrol
6641,Mercedes-benz Classe A,"31,713 ",Progressive+led+kamera+7g,Automatic,2023,"10,573 km",Petrol
6642,Mercedes-benz Classe A,"24,371 ",Automatik *navi*alu*pdc*carplay*klima*,Automatic,2020,"64,350 km",Petrol
