,name,price,description,trassmition,model,milage,fuel
0,Seat Leon,"26,118 ",Sportstourer 1.4 E-hybrid Fr Led Acc Navi,Automatic,2021,"52,080 km",Hybrid
1,Volvo V60,"27,777 ",T6 Awd Recharge Plug-in Momentum Pro Ahk,Automatic,2020,"107,217 km",Hybrid
2,Volkswagen Tiguan,"20,392 ","2.0 Tdi Navi/sound/bmt,comfortline,1.hand",Manual,2017,"123,000 km",Diesel
3,Volkswagen Tiguan,"30,967 ",2.0 Tdi Highline R-line 4mo. Led+navi+acc,Automatic,2019,"68,100 km",Diesel
4,Volkswagen Tiguan,"22,892 ",Join Start-stopp 2hand Ahk Garantie,Manual,2018,"105,958 km",Diesel
5,Volkswagen Tiguan,"26,760 ",2.0 Tdi/matrix/4motion/ambiente/200ps,Automatic,2021,"127,000 km",Diesel
6,Volkswagen Tiguan,"36,139 ","R-line 1,5 Tsi Dsg*led*kamera*virtual*acc",Automatic,2023,"50,000 km",Petrol
7,Volkswagen T-roc,"38,297 ",R-line Pano Kam Navi Iq-light 19'' Black,Automatic,2024,"6,123 km",Petrol
8,Volkswagen T-roc,"18,583 ",Style2.0tdi Dsg Navi Alu Pdc Acc,Automatic,2021,"139,000 km",Diesel
9,Volkswagen T-roc,"21,206 ",Sport/r-line,Manual,2019,"79,850 km",Petrol
10,Volkswagen T-roc,"23,631 ",Style,Automatic,2020,"68,100 km",Petrol
11,Volkswagen Polo,"14,942 ",1.2 Tsi Comfortline Dsg Klimaaut. Shz 1.han,Automatic,2015,"15,975 km",Petrol
12,Volkswagen Polo,"22,751 ",Vi Gti Aid Acc Alcantara Carplay Led Pano,Automatic,2018,"68,000 km",Petrol
13,Volkswagen Polo,"24,137 ","Life 1,0 Tsi Dsg Acc+led+shzg.+einparkh.+15",Automatic,2024,20 km,Petrol
14,Volkswagen Polo,"19,120 ","1,0 Life Led+gra+einparkh.+shzg.",Manual,2023,"17,300 km",Petrol
15,Toyota Yaris,"11,745 ",1.0 Vvt-i*klima*zv-funk*8-fach Rader*,Manual,2015,"96,854 km",Petrol
16,Renault Clio,"19,034 ",V Abs Fahrerairbag Beifahrerairbag Esp Sero,Automatic,2020,"52,000 km",Petrol
17,Porsche Macan,"104,287 ","Gts 2.9, 1.hand, Original 380 Km, Garantie",Automatic,2023,380 km,Petrol
18,Porsche Macan,"95,137 ","S*acc,ahk,bose,pano,tempolim.,14-wege,360°",Automatic,2024,"14,300 km",Petrol
19,Peugeot 3008,"22,354 ",Gt 1.6 Puretech 180 Eat8,Automatic,2021,"61,502 km",Petrol
20,Peugeot 5008,"34,797 ",Pure Tech Gt Eat *7-sitze*acc*led*upe:49,Automatic,2024,"8,231 km",Petrol
21,Peugeot 3008,"28,812 ",Roadtrip Hybrid 225 (plug-in) *szh*navi*,Automatic,2021,"13,332 km",Hybrid
22,Peugeot 508,"31,312 ",Sw Gt Pack 1.6 Puretech 225 *navi*led*szh*ka,Automatic,2021,"17,500 km",Petrol
23,Peugeot 508,"30,839 ",Sw Gt Pack 1.6 Puretech 225 *ahk*navi*led*sz,Automatic,2021,"21,747 km",Petrol
24,Peugeot 3008,"27,239 ",Allure Pack 1.2 Pt 130 +navi+led+cam+shz+,Manual,2021,"24,800 km",Petrol
25,Peugeot 508,"31,812 ",Sw Gt Pack 1.6 Puretech 225 *nav*led*szh*,Automatic,2021,"11,356 km",Petrol
26,Peugeot 508,"28,339 ",Sw Gt 1.6 Puretech 180 *szh*navi*led*,Automatic,2021,"20,017 km",Petrol
27,Peugeot 508,"25,539 ",Sw Gt 1.2 Puretech 130 *szh*navi*led*,Automatic,2021,"23,094 km",Petrol
28,Peugeot 2008,"22,039 ",Elektro 136 Allure Klimaaut.+kamera+dab+,Automatic,2021,"22,690 km",Not specified
29,Peugeot 508,"24,565 ",Sw Gt 1.2 Puretech 130 *szh*navi*led*,Automatic,2021,"31,520 km",Petrol
30,Seat Leon,"26,118 ",Sportstourer 1.4 E-hybrid Fr Led Acc Navi,Automatic,2021,"52,080 km",Hybrid
31,Volvo V60,"27,777 ",T6 Awd Recharge Plug-in Momentum Pro Ahk,Automatic,2020,"107,217 km",Hybrid
32,Volkswagen Tiguan,"20,392 ","2.0 Tdi Navi/sound/bmt,comfortline,1.hand",Manual,2017,"123,000 km",Diesel
33,Volkswagen Tiguan,"30,967 ",2.0 Tdi Highline R-line 4mo. Led+navi+acc,Automatic,2019,"68,100 km",Diesel
34,Volkswagen Tiguan,"22,892 ",Join Start-stopp 2hand Ahk Garantie,Manual,2018,"105,958 km",Diesel
35,Volkswagen T-roc,"38,297 ",R-line Pano Kam Navi Iq-light 19'' Black,Automatic,2024,"6,123 km",Petrol
36,Volkswagen Tiguan,"26,760 ",2.0 Tdi/matrix/4motion/ambiente/200ps,Automatic,2021,"127,000 km",Diesel
37,Volkswagen Tiguan,"36,139 ","R-line 1,5 Tsi Dsg*led*kamera*virtual*acc",Automatic,2023,"50,000 km",Petrol
38,Volkswagen T-roc,"18,583 ",Style2.0tdi Dsg Navi Alu Pdc Acc,Automatic,2021,"139,000 km",Diesel
39,Volkswagen T-roc,"21,206 ",Sport/r-line,Manual,2019,"79,850 km",Petrol
40,Volkswagen T-roc,"23,631 ",Style,Automatic,2020,"68,100 km",Petrol
41,Volkswagen Polo,"14,942 ",1.2 Tsi Comfortline Dsg Klimaaut. Shz 1.han,Automatic,2015,"15,975 km",Petrol
42,Volkswagen Polo,"22,751 ",Vi Gti Aid Acc Alcantara Carplay Led Pano,Automatic,2018,"68,000 km",Petrol
43,Volkswagen Polo,"24,137 ","Life 1,0 Tsi Dsg Acc+led+shzg.+einparkh.+15",Automatic,2024,20 km,Petrol
44,Volkswagen Polo,"19,120 ","1,0 Life Led+gra+einparkh.+shzg.",Manual,2023,"17,300 km",Petrol
45,Toyota Yaris,"11,745 ",1.0 Vvt-i*klima*zv-funk*8-fach Rader*,Manual,2015,"96,854 km",Petrol
46,Renault Clio,"19,034 ",V Abs Fahrerairbag Beifahrerairbag Esp Sero,Automatic,2020,"52,000 km",Petrol
47,Porsche Macan,"104,287 ","Gts 2.9, 1.hand, Original 380 Km, Garantie",Automatic,2023,380 km,Petrol
48,Porsche Macan,"95,137 ","S*acc,ahk,bose,pano,tempolim.,14-wege,360°",Automatic,2024,"14,300 km",Petrol
49,Peugeot 3008,"22,354 ",Gt 1.6 Puretech 180 Eat8,Automatic,2021,"61,502 km",Petrol
50,Peugeot 5008,"34,797 ",Pure Tech Gt Eat *7-sitze*acc*led*upe:49,Automatic,2024,"8,231 km",Petrol
51,Peugeot 3008,"28,812 ",Roadtrip Hybrid 225 (plug-in) *szh*navi*,Automatic,2021,"13,332 km",Hybrid
52,Peugeot 508,"31,312 ",Sw Gt Pack 1.6 Puretech 225 *navi*led*szh*ka,Automatic,2021,"17,500 km",Petrol
53,Peugeot 508,"30,839 ",Sw Gt Pack 1.6 Puretech 225 *ahk*navi*led*sz,Automatic,2021,"21,747 km",Petrol
54,Peugeot 3008,"27,239 ",Allure Pack 1.2 Pt 130 +navi+led+cam+shz+,Manual,2021,"24,800 km",Petrol
55,Peugeot 508,"31,812 ",Sw Gt Pack 1.6 Puretech 225 *nav*led*szh*,Automatic,2021,"11,356 km",Petrol
56,Peugeot 508,"28,339 ",Sw Gt 1.6 Puretech 180 *szh*navi*led*,Automatic,2021,"20,017 km",Petrol
57,Peugeot 508,"25,539 ",Sw Gt 1.2 Puretech 130 *szh*navi*led*,Automatic,2021,"23,094 km",Petrol
58,Peugeot 2008,"22,039 ",Elektro 136 Allure Klimaaut.+kamera+dab+,Automatic,2021,"22,690 km",Not specified
59,Peugeot 508,"24,565 ",Sw Gt 1.2 Puretech 130 *szh*navi*led*,Automatic,2021,"31,520 km",Petrol
60,Peugeot 308,"12,571 ","Sw 1,2 Ethp Allure 1.hand,navi,xenon, Bi-xen",Manual,2016,"118,100 km",Petrol
61,Peugeot 508,"31,312 ",Gt Pack 1.6 Puretech 225 Sw *navi*led*szh*,Automatic,2021,"19,637 km",Petrol
62,Mini Cooper,"27,177 ",3-turer Dab Led Tempomat Klimaaut. Shz,Automatic,2023,"4,557 km",Petrol
63,Mercedes-benz Classe A,"30,013 ",Progressive Mbux Navi-prem. Winter-p Kamer,Automatic,2023,"11,900 km",Petrol
64,Hyundai Tucson,"31,901 ",Prime Mild-hybrid 4wd*ahk*leder*360°*pano,Automatic,2021,"46,603 km",Petrol
65,Hyundai Tucson,"35,107 ",1.6 T-gdi 48v-hybrid N-line P-dach+navi+k,Automatic,2022,"20,990 km",Petrol
66,Hyundai Tucson,"28,497 ",2.0 Crdi Mild Hybrid Premium 4wd Klima,Automatic,2020,"79,171 km",Diesel
67,Fiat 500,"12,801 ",Lounge *panorama*,Manual,2020,0 km,Petrol
68,Dacia Duster,"16,870 ",Ii Prestige,Manual,2019,"13,358 km",Petrol
69,Citroen C3,"14,265 ",Feel*bluetooth*tempo*pdc,Manual,2020,"25,000 km",Petrol
70,Citroen C3,"12,907 ","Aircross 1,2ipure-tech/navi/klima/start-stop",Manual,2020,"76,203 km",Petrol
71,Citroen C3,"21,301 ","Max Turbo 100 Navigation, Ruckfahrkamera",Manual,2024,15 km,Petrol
72,Citroen C3,"18,450 ","1.2 Puretech 110 Ab 5,49%",Manual,2023,"10,425 km",Petrol
73,Bmw X3,"39,197 ",Xdrive20d Luxury Line Head-up Led Navi H&k Hi,Automatic,2020,"70,566 km",Diesel
74,Bmw X1,"52,258 ",Xdrive23i Frozen Pure Grey Met.|m Sport|pano,Automatic,2022,"6,800 km",Petrol
75,Bmw X1,"38,039 ",Sdrive 18i Klima Pdc Shz Kamera Navi Led,Automatic,2022,"38,573 km",Petrol
76,Audi Q5,"51,325 ",Sportback 50 Tfsi E Quattro S Tronic S-line*a,Automatic,2021,"37,383 km",Hybrid
77,Audi Q5,"46,501 ",40 Tdi Quattro 3x S Line Head Up Pano S Sitze,Automatic,2023,"64,000 km",Diesel
78,Audi Q5,"60,937 ",Sportback 2xs-line Pano Ahk360° Kamera,Automatic,2024,"7,130 km",Petrol
79,Audi Q2,"30,173 ",35 Tfsi S-line S-tronic Navi+led+gra+shzg.+17,Automatic,2023,"16,200 km",Petrol
80,Audi Q3,"22,892 ",Sport Quattro S-line Voll Led Leder,Automatic,2017,"100,000 km",Diesel
81,Audi Q2,"28,752 ",30 Tdi S-tronic Advanced *ahk*acc*led*17z*kam,Automatic,2022,"58,822 km",Diesel
82,Audi Q2,"25,597 ",35 Tdi S-tronic Sport *navi*shz*17zoll,Automatic,2019,"71,851 km",Diesel
83,Audi Q2,"30,157 ",35 Tfsi S-line S-tronic Navi+led+gra+shzg.+17,Automatic,2023,"10,600 km",Petrol
84,Audi A6,"41,793 ",Avant 55 Tfsi E Quattro Sport Ahk Pano Matrix,Automatic,2020,"89,078 km",Hybrid
85,Audi A4,"22,439 ",Avant 35 Tdi S-tronic Advanced Led*mmi*top,Automatic,2020,"148,000 km",Diesel
86,Audi A6,"46,442 ",Avant 55 Tfsi Quattro Sport Led Pano B&o Ahk,Automatic,2020,"37,082 km",Petrol
87,Audi A4,"22,515 ",Avant Sport S-line Pano Acc Apple Kamera Ahk,Automatic,2018,"149,999 km",Diesel
88,Audi A5,"74,427 ","Avant 40 Tdi Quattro Edition One Lp: 82.515,-",Automatic,2024,"4,000 km",Diesel
89,Audi A4,"38,193 ",Limousine 45 Tfsi Quattro Advanced Tour Stadt,Automatic,2021,"85,941 km",Petrol
90,Audi A4,"25,581 ",40 Avant Design 2.0 Tfsi G-tron Ahk*led*kamer,Automatic,2019,"52,109 km",Others
91,Audi A4,"27,587 ",35 Tdi Advanced*standheizung*led*navi,Automatic,2020,"76,090 km",Diesel
92,Audi A4,"30,882 ",Limousine 40 2.0 Tdi Advanced Leder|led|navi,Automatic,2021,"47,921 km",Petrol
93,Audi A3,"22,793 ",Sportback 2.0 Tdi Quattro Sport Led Ahk Navi,Manual,2016,"80,960 km",Diesel
94,Audi A3,"27,528 ",Limousine 35 Tfsi Advanced S Tro. Matrix Virt,Automatic,2020,"44,820 km",Petrol
95,Audi A3,"32,794 ",Limousine 35 Tdi Advanced B&o Parklenkassist,Automatic,2021,"64,773 km",Diesel
96,Audi A4,"35,142 ",Avant 35 Tfsi Ahk Pdc Sportsitze Led,Automatic,2022,"56,520 km",Petrol
97,Audi A1,"29,585 ","Sportback Advanced 30 Tfsi Navi+, Led, Shz",Manual,2023,"6,173 km",Petrol
98,Audi A1,"19,624 ",Sportback 30 Tfsi 6-gang Klimaaut.,Manual,2019,"71,090 km",Petrol
99,Audi A1,"15,673 ","Sportback ""sitzheizung""",Manual,2017,"93,220 km",Petrol
100,Audi A1,"29,585 ","Sportback Advanced 30 Tfsi Navi+, Led, Shz",Manual,2023,"6,173 km",Petrol
101,Volkswagen Tiguan,"33,931 ",2.0 Tdi Dsg Elegance 4m Ahk/kamera/acc,Automatic,2020,"63,818 km",Diesel
102,Volkswagen Tiguan,"28,563 ",R-line 4x4 Digtacho Leder Ahk Kamera,Automatic,2018,"97,000 km",Diesel
103,Volkswagen Tiguan,"38,417 ",Elegance 2.0 Tdi Scr Dsg*matrix*navi*keyl,Automatic,2023,"6,944 km",Diesel
104,Volkswagen Tiguan,"32,882 ",Move 1.5 Tsi Act Android Auto Metalli,Automatic,2023,"60,806 km",Petrol
105,Volkswagen T-roc,"32,812 ",Cabriolet 1.5 Tsi Dsg R-line Acc Led Navi,Automatic,2021,"19,422 km",Petrol
106,Volkswagen T-roc,"23,397 ",1.0 Tsi Life Navi Led App-con Winterpkt,Manual,2023,"17,223 km",Petrol
107,Volkswagen Tiguan,"32,728 ",2.0 Tdi Dsg R-line-nav-kam-led-ahk-hud-,Automatic,2020,"47,900 km",Diesel
108,Volkswagen Tiguan,"57,037 ","Elegance 1,5 L Ehybrid 150ps + 115ps Ahk",Automatic,2024,"4,999 km",Hybrid
109,Volkswagen T-roc,"29,962 ",1.5 Tsi Dsg Active Ahk Panorama Navi Dab A,Automatic,2021,"16,418 km",Petrol
110,Volkswagen T-roc,"30,937 ",Vw Style 1.5 Tsi*keyless*kamera*navi*,Manual,2024,"5,204 km",Petrol
111,Volkswagen T-roc,"28,682 ",1.5 Tsi Dsg Active Panorama Navi Dab Acc L,Automatic,2021,"16,418 km",Petrol
112,Volkswagen T-roc,"22,634 ",1.5 Tsi Dsg Sport-nav-led-acc-pdc-shz-,Automatic,2019,"76,500 km",Petrol
113,Volkswagen T-roc,"35,297 ",1.5 Tsi Dsg Style*led/app/kamera/acc/shz*,Automatic,2024,20 km,Petrol
114,Volkswagen T-roc,"33,989 ",1.5 Tsi Dsg Style*iq.drive*pano*park*,Automatic,2023,"23,270 km",Petrol
115,Volkswagen T-roc,"29,309 ",Cabriolet 1.5 Tsi R-line Led+acc+shz+navi,Automatic,2021,"29,500 km",Petrol
116,Volkswagen T-roc,"20,308 ","1.5 Tsi Opf ""united"" Navi, App-connect, Kl",Manual,2021,"57,000 km",Petrol
117,Volkswagen T-roc,"23,265 ",1.0 Cabriolet Style Tsi Bmt Navi Klima,Manual,2020,"29,900 km",Petrol
118,Volkswagen Polo,"23,887 ",Vi Move Shz Rfk Lane Assist,Manual,2024,"3,236 km",Petrol
119,Volkswagen Polo,"16,483 ",Cross V 1.2 Tsi Dsg Klimaaut. Sitzheiz Xenon,Automatic,2017,"50,000 km",Petrol
120,Toyota Yaris,"17,214 ",Hybrid 1.5 Vvt-i Y20 Club,Automatic,2019,"46,960 km",Hybrid
121,Toyota Rav4,"40,371 ",2.5 Hybrid Lounge 4x2 *360*led*carplay*shz,Automatic,2021,"23,500 km",Hybrid
122,Renault Clio,"10,313 ",Iv Grandtour 1.2 Expression 2.hand,Manual,2015,"124,149 km",Petrol
123,Peugeot 3008,"42,897 ",Hybrid4 300 Gt 1.6 Hybrid Panodach Navi Dig,Automatic,2023,20 km,Hybrid
124,Peugeot 2008,"24,574 ",E- Gt Elektromotor 136,Automatic,2021,"39,717 km",Not specified
125,Peugeot 208,"26,286 ",E- Elektromotor 136 Gt Navi Led Acc Apple Ca,Automatic,2022,"10,618 km",Not specified
126,Nissan Qashqai,"33,222 ",1.3 Tekna Led+vc+acc+e-klappe+keyless,Automatic,2023,"10,494 km",Petrol
127,Nissan Qashqai,"34,707 ",1.3 Tekna+ Plus Vc+acc+pano+360°+hud,Automatic,2024,"17,655 km",Petrol
128,Nissan Qashqai,"35,007 ",1.3 Tekna+ Plus Vc+acc+pano+360°+hud,Automatic,2024,"15,100 km",Petrol
129,Nissan Qashqai,"33,249 ",1.3 Tekna+ Pano Navi Dab 360° Shz Led,Automatic,2023,"24,000 km",Petrol
130,Nissan Qashqai,"21,671 ",1.3 Dig-t 117 Kw N-connecta,Automatic,2020,"61,000 km",Petrol
131,Mercedes-benz Classe A,"18,449 ",Amg-line/stzhzg/led/navi/tempomat,Manual,2017,"117,000 km",Petrol
132,Mercedes-benz Classe A,"32,006 ",D Progressive Advanced Led+dab+carbon Uvm,Automatic,2023,178 km,Diesel
133,Mercedes-benz Classe A,"22,892 ",D Limousine Style Direktlenkung+agility,Automatic,2020,"123,443 km",Diesel
134,Hyundai Tucson,"36,297 ",1.6 Turbo 48v Dct Prime 4wd Leder Navi,Automatic,2024,10 km,Petrol
135,Fiat 500,"12,818 ","Pop Star Mit Bluetooth,klima Und Garantie",Manual,2019,"38,354 km",Petrol
136,Fiat 500,"11,646 ",Lounge,Manual,2016,"77,000 km",Petrol
137,Dacia Duster,"21,936 ",Tce 100 2wd Eco-g Expression,Manual,2024,10 km,LPG
138,Citroen C3,"16,876 ",Shine 1.2 E-thp Allw/led/dab/kamera/klimaauto,Manual,2023,"20,224 km",Petrol
139,Citroen C3,"13,038 ",Aircross Shine,Manual,2020,"85,000 km",Petrol
140,Fiat 500,"12,330 ",Lounge Tuv Neu Scheckheft,Manual,2020,"58,000 km",Petrol
141,Citroen C3,"16,876 ",Shine 1.2 E-thp Allw/led/dab/kamera/klimaauto,Manual,2023,"20,224 km",Petrol
142,Citroen C4,"26,187 ",Max Pt130 At Business Paket Hud Navi 360 Kame,Automatic,2024,2 km,Petrol
143,Bmw X3,"32,973 ",Xdrive 30d Advantage/navi/panorama/led/ahk,Automatic,2019,"107,642 km",Diesel
144,Citroen C4,"19,644 ",Spacetourer 1.2 Pt Eat8 Selection *dab*cam*,Automatic,2020,"56,150 km",Petrol
145,Audi Q3,"27,407 ",35 Tfsi Ahk+aps+kam+vc+klima2+mmi+key,Manual,2020,"73,860 km",Petrol
146,Audi Q5,"39,213 ",Design 40 Tdi Quattro,Automatic,2020,"80,952 km",Diesel
147,Audi Q3,"42,403 ",Sportback S Line 35tfsi S Tron Ahk Nav Sonos,Automatic,2023,"15,500 km",Petrol
148,Audi Q3,"46,977 ",Sportback 35 Tfsi S-line S-tr. Navi+acc+ahk,Automatic,2024,20 km,Petrol
149,Audi Q3,"50,707 ",Sportback 35 Tfsi 2 X S Line Matrix Led Ruckf,Manual,2024,"5,000 km",Petrol
150,Audi Q3,"38,143 ",Sportback 45 Tfsi Quattro S Line *edition One,Automatic,2019,"53,250 km",Petrol
151,Audi Q2,"39,187 ",Advanced 35 Tfsi,Automatic,2024,"2,800 km",Petrol
152,Audi A6,"51,763 ",Avant Sport Advanced 40 Tdi S Tr. Hud 360°k,Automatic,2023,"27,000 km",Diesel
153,Audi A6,"59,326 ",Avant 40 Tdi Qu. S Tronic Advanced Pano/ahk/m,Automatic,2024,"26,265 km",Diesel
154,Audi Q2,"26,831 ",Advanced 30 Tfsi 110 Ps Schaltgetriebe,Manual,2023,"5,000 km",Petrol
155,Bmw X1,"31,431 ",Xdrive18d Sportline Led Navi Hud Pano Kamera,Automatic,2020,"66,072 km",Diesel
156,Audi Q3,"29,072 ",35 Tdi Pano+led+kam+assistenz+vc+ambiente,Automatic,2019,"107,500 km",Diesel
157,Audi A6,"39,163 ",Avant 50 Quattro Hybrid Sport Ahk Cam Acc 18z,Automatic,2021,"37,955 km",Hybrid
158,Audi Q3,"39,218 ",Sportback 40 Tfsi Qu. S Tr. S Line+ahzv+matrx,Automatic,2020,"45,616 km",Petrol
159,Audi A6,"36,243 ",Avant 45 Tdi Qu S-tr. S-line Led+navi+ahk+vc,Automatic,2019,"86,273 km",Diesel
160,Audi A6,"76,327 ",Allroad Quattro 50 Tdi Matrix*ahk*stand*hud,Automatic,2024,"11,866 km",Diesel
161,Audi Q3,"32,543 ",Sportback 45 Tfsi E Basis Kamera/sitzhzg/einp,Automatic,2021,"82,484 km",Hybrid
162,Audi A6,"52,815 ",Avant Sport 50 Tfsi E Qu.s Tr. B&o Navi Matri,Automatic,2023,"18,400 km",Hybrid
163,Audi A5,"41,121 ",Cabriolet 40tfsi Advanced Matrix+,Automatic,2021,"11,708 km",Petrol
164,Audi A6,"41,141 ",Avant 55 Quattro Hybrid Sport Ahk Acc Lm19,Automatic,2021,"89,522 km",Hybrid
165,Audi A5,"31,421 ",Sportback 40 Tfsi Q Sport Ahk Pdc Gra Navi,Automatic,2019,"50,287 km",Petrol
166,Audi A6,"62,436 ",Avant 45 Tfsi Qu. S Tronic S Line Pano/ahk/ac,Automatic,2024,"17,887 km",Petrol
167,Audi A6,"46,892 ",40 Tdi Design Hud Sitzblft St.heiz Kamera,Automatic,2023,"30,031 km",Diesel
168,Audi A4,"18,925 ","Avant Sport,ahk,6-gang,led,navi",Manual,2017,"104,855 km",Petrol
169,Audi A4,"66,437 ",Avant S Line 40 Tdi Quattro 150(204) Kw(ps) S,Automatic,2024,"10,000 km",Diesel
170,Audi A5,"61,427 ",Avant Tfsi S Line Exterieur Interier S Tech M,Automatic,2024,"5,000 km",Petrol
171,Audi A5,"82,286 ",Avant Tdi Quattro 150 Kw S Troni C,Automatic,2024,"5,900 km",Diesel
172,Audi A4,"38,157 ",Avant 45 Tfsi Quattro S Tronic S Line Led Nav,Automatic,2020,"76,201 km",Petrol
173,Audi A5,"53,616 ",Sportback 40 Tdi Qu. S Tronic Advanced S Line,Automatic,2024,"24,441 km",Diesel
174,Audi A5,"43,192 ",Sportback 40 Tfsi S Tr. S Line+matrx+pano+sth,Automatic,2020,"33,851 km",Petrol
175,Audi A5,"57,346 ",Coupe 45 Tfsi Quattro S-line*matrix*pano*virt,Automatic,2024,"16,700 km",Petrol
176,Audi A4,"34,207 ",35 Tfsi S Tr. Led Navi Rfk Dab Sitzhzg,Automatic,2023,"4,600 km",Petrol
177,Audi A4,"21,057 ",Lim. Design Ultra *dab + Led + Navi,Automatic,2015,"121,915 km",Petrol
178,Audi A4,"41,539 ",Avant 40 Tfsi Q 2x S Line Matrix Ahk Virtual,Automatic,2023,"25,000 km",Petrol
179,Audi A4,"26,325 ",Avant Quattro S-line Sport Hybr Benzin/e,Automatic,2018,"143,000 km",Petrol
180,Audi A3,"29,775 ",Sportback 35 Tfsi Advanced,Automatic,2022,"48,432 km",Petrol
181,Audi A3,"42,787 ",Sportback 30 Tdi S Line,Manual,2024,"15,000 km",Diesel
182,Audi A3,"44,546 ",Sportback 40 Tfsi E S Tronic S Line Ahk/virtu,Automatic,2023,"5,507 km",Hybrid
183,Audi A4,"27,325 ","Avant 35 Tfsi ""navi/shz/led""",Automatic,2021,"37,436 km",Hybrid
184,Audi A3,"43,287 ",Sportback 35 Tdi 2 X S Line Led Scheinw. Smar,Manual,2024,"5,000 km",Diesel
185,Audi A1,"32,749 ",Sportback 35 Tfsi S Line Mmi+ Led Infotainmen,Automatic,2022,"31,304 km",Petrol
186,Audi A1,"24,487 ",Sportback 25 Tfsi Advanced Sportsitze Optikpa,Automatic,2024,"3,000 km",Petrol
187,Audi A1,"21,396 ",Sportback S Line 35 Tfsi 110(150) Kw(ps) S Tr,Automatic,2022,"19,953 km",Petrol
188,Volkswagen Tiguan,"51,617 ",2.0 Tdi R-line 4motion Hd-matrix Panorama,Automatic,2024,"11,745 km",Diesel
189,Volkswagen Tiguan,"36,959 ",Life Dsg Ahz Gjr Nav Kam 25% Rabatt,Automatic,2023,"26,490 km",Petrol
190,Volkswagen Tiguan,"30,003 ",2.0 Tdi United *led-matrix*navi*acc*app,Automatic,2021,"120,187 km",Diesel
191,Volkswagen Tiguan,"38,453 ",1.5 Tsi Dsg Move*led*kamera*,Automatic,2023,"11,610 km",Petrol
192,Volkswagen Tiguan,"63,337 ","R-line 2.0 Tdi 4m Dsg Ahk,iq.light-matrix",Automatic,2024,"4,000 km",Diesel
193,Volkswagen Tiguan,"36,303 ",2.0 Tdi Dsg 4m 3 X R-line Pano/acc/ahk/20,Automatic,2021,"147,752 km",Diesel
194,Volkswagen Tiguan,"34,708 ",1.5 Tsi Dsg Ahk Navi Acc Panorama Carplay,Automatic,2021,"56,820 km",Petrol
195,Volkswagen Tiguan,"38,132 ",2.0tsi R-line 4motion Dsg Ahk Headup Cam,Automatic,2021,"49,699 km",Petrol
196,Volkswagen Tiguan,"26,094 ",1.5 Tsi Join,Manual,2019,"49,800 km",Petrol
197,Volkswagen T-roc,"19,294 ",Iq.drive,Manual,2020,"99,000 km",Diesel
198,Volkswagen T-roc,"26,680 ","1.5 Tsi Dsg Sport R-line *led*digital*19""",Automatic,2020,"69,991 km",Petrol
199,Volkswagen T-roc,"37,287 ","R-line 4m Black Pano Cam Iq.drive-acc 18""",Automatic,2024,"23,252 km",Petrol
200,Volkswagen T-roc,"37,197 ",1.5 Tsi Dsg R-line Led Acc Spurpaket Winte,Automatic,2024,25 km,Petrol
201,Volkswagen T-roc,"28,451 ",2.0 Tdi 4m Dsg Sport Ahk/pano/acc/beats/rf,Automatic,2020,"69,412 km",Diesel
202,Volkswagen T-roc,"37,197 ",1.5 Tsi Dsg R-line Led Acc Spurpaket Winte,Automatic,2024,25 km,Petrol
203,Volkswagen T-roc,"34,237 ",Style 1.5 Tsi Opf Dsg *led*navi*rear View*,Automatic,2023,"1,870 km",Petrol
204,Volkswagen T-roc,"42,797 ",R-line 2.0 Tdi Dsg,Automatic,2024,"7,000 km",Diesel
205,Volkswagen T-roc,"21,426 ",Sport 4motion,Automatic,2018,"113,000 km",Petrol
206,Volkswagen T-roc,"33,213 ",1.5 Tsi Life Dsg Nav Digitalcockpitpro Led,Automatic,2023,"13,792 km",Petrol
207,Volkswagen T-roc,"28,322 ",Sport 2.0 L Tsi Opf 4motion,Automatic,2021,"47,014 km",Petrol
208,Volkswagen T-roc,"46,627 ",Cabriolet 1.5 Tsi R-line Opf Beats Black,Automatic,2024,"5,000 km",Petrol
209,Volkswagen T-roc,"23,934 ",United 2.0 Tdi Dsg Acc Navi Virtual,Automatic,2020,"69,200 km",Diesel
210,Volkswagen Polo,"17,505 ",Comfortline 1.0 Tsi Dsg *acc*park Assist*,Automatic,2020,"95,110 km",Petrol
211,Volkswagen Polo,"20,741 ",1.0 Life Led+nav+app+shz+2xpdc+gra+aid+dab,Manual,2024,"22,078 km",Petrol
212,Volkswagen Polo,"19,508 ",1.0 Comfortline Led Nav Stzhzg Winter-pakt.,Manual,2021,"56,672 km",Petrol
213,Volkswagen Polo,"18,607 ",Vi Highline Dsg Led Kamera Tacho Digital,Automatic,2019,"61,353 km",Petrol
214,Volkswagen Polo,"27,697 ","Style 1,0 L Tsi Dsg *matrix*ahk*acc*r-kam*",Automatic,2024,"4,900 km",Petrol
215,Volkswagen Polo,"19,005 ",Comfortline 1.0 Tsi 70kw*dsg*pdc*klima*,Automatic,2020,"23,202 km",Petrol
216,Volkswagen Polo,"19,019 ",Highline 1.0 Tsi 70kw 5-gang 4 Turen,Manual,2021,"26,839 km",Petrol
217,Volkswagen Polo,"20,199 ",1.0 Life *gra*led*digi.c*shz*pdc*,Manual,2024,"20,805 km",Petrol
